Sample,Type,Year,Ba,Ca,Fe,Mn,Mg,Sr,Sr.8687,Ba.Ca,Fe.Ca,Mg.Ca,Mn.Ca,Sr.Ca
Blicks A ,Parent,2021,0.018,3.1068,0.3288,0.0034,1.6207,0.0365,0.702606832,0.005793743,0.105832368,0.52166216,0.001094374,0.011748423
Blicks A,Parent,2020,0.0151,4.4037,0.4115,0.0042,1.9578,0.0446,0.703294647,0.003428935,0.093444149,0.444580694,0.000953743,0.010127847
Boonoo Boonoo B ,Parent,2021,0.0109,0.9211,0.6502,0.0197,0.5867,0.0115,0.716083539,0.011833677,0.705895125,0.636955814,0.021387472,0.012485072
Boonoo Boonoo B,Parent,2020,0.0206,1.7319,2.2739,0.1366,1.1788,0.0175,0.721644071,0.011894451,1.312951094,0.68063976,0.078872914,0.010104509
Broadwater Ck,Parent,2021,0.0729,12.886,0.0276,0.1771,26.718,0.2678,0.708098763,0.005657302,0.002141859,2.073413006,0.013743598,0.020782244
Broadwater Ck,Parent,2020,0.0725,20.6456,0.0451,0.0963,46.0906,0.4036,0.707965081,0.003511644,0.002184485,2.232465998,0.004664432,0.01954896
Cataract B ,Parent,2021,0.0213,9.345,0.4459,0.0125,4.9765,0.0695,0.709555742,0.002279294,0.047715356,0.532530765,0.001337614,0.007437132
Cataract B,Parent,2020,0.0284,12.5704,0.3126,0.1074,7.0225,0.0859,0.710001058,0.002259276,0.024867944,0.558653663,0.008543881,0.006833514
Cataract D,Parent,2021,0.0348,6.677,0.8987,0.0402,3.8227,0.0535,,0.005211922,0.134596376,0.572517598,0.006020668,0.008012581
Cataract D,Parent,2020,0.0469,8.1334,1.3391,0.0969,4.6427,0.064,,0.005766346,0.164642093,0.570819092,0.011913837,0.007868788
Clarence A ,Parent,2021,0.0447,45.3812,0.0044,0.0137,147.7,1.3633,0.707921211,0.000984989,9.69564E-05,3.254651706,0.000301887,0.030041074
Clarence A,Parent,2020,0.0478,347.9,0.0023,0.0101,1057.3,6.45,0.708255713,0.000137396,6.6111E-06,3.039091693,2.90313E-05,0.01853981
Clarence B ,Parent,2021,0.019,5.3247,0.1168,0.0025,3.8915,0.057,0.704189638,0.003568276,0.021935508,0.730839296,0.00046951,0.010704828
Clarence B,Parent,2020,0.1227,45.7103,0.0083,0.3933,160.1,1.0659,0.708031918,0.002684297,0.000181578,3.502492874,0.008604188,0.023318596
Clarence C ,Parent,2021,0.0188,5.9767,0.1321,0.0066,3.9404,0.0576,,0.003145549,0.022102498,0.65929359,0.001104288,0.009637425
Clarence C,Parent,2020,0.0107,4.6619,0.0922,0.0128,3.6704,0.0546,,0.002295202,0.019777344,0.787318475,0.002745662,0.011711963
Clarence E,Parent,2021,0.0284,8.341,0.2504,0.0209,4.6769,0.1031,0.702030787,0.003404868,0.030020381,0.560712145,0.002505695,0.012360628
Clarence E,Parent,2020,0.015,7.5117,0.0894,0.0232,6.3065,0.1046,0.703016279,0.001996885,0.011901434,0.839556958,0.003088515,0.013924944
Coldstream A ,Parent,2021,0.0318,13.1658,0.1376,0.5649,17.4086,0.1641,,0.002415349,0.010451321,1.322259187,0.042906622,0.012464112
Coldstream A,Parent,2020,0.1037,61.6901,0.0346,0.5958,232.4,1.5158,,0.001680983,0.000560868,3.767217106,0.009657952,0.024571203
Coldstream B ,Parent,2021,0.0422,3.6202,0.5676,0.0576,3.9286,0.0727,,0.011656815,0.156786918,1.085188664,0.015910723,0.020081763
Coldstream B,Parent,2020,0.0361,3.1498,1.4811,0.4774,2.9683,0.0521,,0.011461045,0.470220331,0.942377294,0.151565179,0.016540733
Copmanhurst ,Parent,2021,0.0205,6.1652,0.1371,0.007,4.0538,0.0594,0.704083985,0.003325115,0.022237721,0.657529358,0.001135405,0.009634724
Copmanhurst ,Parent,2020,0.0143,4.9985,0.041,0.0049,3.8664,0.06,0.706321156,0.002860858,0.008202461,0.773512054,0.000980294,0.012003601
Junction Hill ,Parent,2021,0.0201,5.3298,0.155,0.0019,3.5908,0.0528,0.704708618,0.003771248,0.029081767,0.67372134,0.000356486,0.009906563
Junction Hill ,Parent,2020,0.0817,22.5799,0.0124,0.2183,53.5304,0.4584,0.707728239,0.003618262,0.000549161,2.370710233,0.00966789,0.020301241
Mann A ,Parent,2021,0.0133,4.885,0.1086,0.0049,2.5984,0.0419,0.706873569,0.00272262,0.02223132,0.531914023,0.001003071,0.008577277
Mann A,Parent,2020,0.0034,4.3828,0.1202,0.0109,2.7551,0.0499,0.707638965,0.00077576,0.02742539,0.62861641,0.002486995,0.011385416
Mann F ,Parent,2021,0.0216,19.397,0.3173,0.0071,13.8022,0.1237,0.700687835,0.001113574,0.0163582,0.711563644,0.000366036,0.006377275
