Site,River,Reach,Lat,Long,Ba (ppm),Ca (ppm),Fe (ppm),Mn (ppm),Mg (ppm),Pb (ppm),Se (ppm),Sr (ppm),Ba/Ca,Sr/Ca,Sr87/86,Temperature,pH,DO %,DO mg/L,Conductivity (mS/cm),Turbidity (NTU)
Broadwater Creek,Broadwater Creek,Estuary/Lower Clarence,-29.427062,153.085152,0.0725,20.6456,0.0451,0.1771,46.0906,,,0.4036,0.003511644,0.01954896,0.707965081,28.1,7.71,93.2,7.12,2.72,5.1
Brushgrove/South Arm,Clarence River,Estuary/Lower Clarence,-29.567679,153.077333,0.1216,108.6535,0.005,0.1352,453.3,,,2.9526,0.001119154,0.027174458,0.708148343,24.3,7.71,77.7,5.96,20.8,2.9
Clarence A,Clarence River,Estuary/Lower Clarence,-29.430173,153.240999,0.0447,347.9,0.0023,0.0137,1057.3,,,6.45,0.000128485,0.01853981,0.708255713,22.87,7.85,86.3,6.18,43.7,13.2
Clarence B,Clarence River,Estuary/Lower Clarence,-29.69775,152.942121,0.019,45.7103,0.0083,0.3933,160.1,,,1.0659,0.000415661,0.023318596,0.708031918,29.61,7.52,97.8,7.22,7.64,28.5
Coldstream A,Coldstream River,Estuary/Lower Clarence,-29.6535,153.0925,0.0318,13.1658,0.1376,0.5649,17.4086,,,0.1641,0.002415349,0.012464112,0.730257384,25.72,6.63,96.9,7.76,0.872,7.7
Coldstream B,Coldstream River,Estuary/Lower Clarence,-29.7658,153.0937,0.0422,3.6202,0.5676,0.0576,3.9286,,,0.0727,0.011656815,0.020081763,0.705676821,23.2,6.95,80.1,6.69,0.177,6.5
Copmanhurst,Clarence River,Estuary/Lower Clarence,-29.591085,152.783456,0.0143,4.9985,0.041,0.0049,3.8664,,,0.06,0.002860858,0.012003601,0.706321156,28.38,7.48,105.1,8.11,0.115,15.2
Esk A,Esk River,Estuary/Lower Clarence,-29.353558,153.317894,0.0112,22.374,0.2871,0.0219,70.3336,,,0.6425,0.000500581,0.028716367,0.708255895,23.52,6.11,76.5,6.32,2.68,0
Junction Hill,Clarence River,Estuary/Lower Clarence,-29.633697,152.913476,0.0817,22.5799,0.0124,0.2183,53.5304,,,0.4584,0.003618262,0.020301241,0.707728239,27.52,7.14,87.3,6.73,3.25,23.8
Lawrence,Clarence River,Estuary/Lower Clarence,-29.501663,153.100971,0.109,186,0.0019,0.0904,545.9,,,3.493,0.000586022,0.01877957,NA,27.89,7.66,89.5,6.35,24.5,3.2
Maclean,Clarence River,Estuary/Lower Clarence,-29.457874,153.195982,0.0738,283.4,0.0034,0.0061,852.9,,,5.2236,0.000260409,0.018431898,NA,23.55,7.38,75.1,5.49,35.6,28.3
North Arm ,Clarence River,Estuary/Lower Clarence,-29.378077,153.235299,0.0474,329.6,0.0032,0.0131,1004.7,,,6.2122,0.000143811,0.018847694,0.708232211,22.67,7.84,75.5,5.82,42,10.3
Old Ferry Crossing,Clarence River,Estuary/Lower Clarence,-29.38293,153.345445,0.0154,411.8,0.0022,0.0109,1261.7,,,7.5393,3.74E-05,0.018308159,NA,21.29,8.13,94,6.67,50.6,0
Oyster Channel,Clarence River,Estuary/Lower Clarence,-29.453042,153.329739,0.0115,427.3,0.0022,0.0081,1296.6,,,7.6272,2.69E-05,0.017849754,NA,21.08,8.18,98.2,6.99,51.6,42.1
Palmers Channel,Clarence River,Estuary/Lower Clarence,-29.44943,153.268598,0.0521,331.3,0.0061,0.0132,1012.9,,,6.1685,0.000157259,0.018619076,0.708233504,22.81,7.93,80,5.73,42.5,4.1
